"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Title","Deck","Room_1","Room_2","Room_3","Room_4"
"57","1","2","female",21,0,0,10.5,"S","Miss",NA,NA,NA,NA,NA
"58","0","3","male",28.5,0,0,7.2292,"C","Mr",NA,NA,NA,NA,NA
"59","1","2","female",5,1,2,27.75,"S","Miss",NA,NA,NA,NA,NA
"60","0","3","male",11,5,2,46.9,"S","Master",NA,NA,NA,NA,NA
"61","0","3","male",22,0,0,7.2292,"C","Mr",NA,NA,NA,NA,NA
"62","1","1","female",38,0,0,80,"","Miss","B","Port",NA,NA,NA
"63","0","1","male",45,1,0,83.475,"S","Mr","C","Starboard",NA,NA,NA
"64","0","3","male",4,3,2,27.9,"S","Master",NA,NA,NA,NA,NA
"65","0","1","male",32.3680904522613,0,0,27.7208,"C","Mr",NA,NA,NA,NA,NA
"66","1","3","male",4.57416666666667,1,1,15.2458,"C","Master",NA,NA,NA,NA,NA
"67","1","2","female",29,0,0,10.5,"S","Mrs","F","Starboard",NA,NA,NA
"68","0","3","male",19,0,0,8.1583,"S","Mr",NA,NA,NA,NA,NA
"69","1","3","female",17,4,2,7.925,"S","Miss",NA,NA,NA,NA,NA
"70","0","3","male",26,2,0,8.6625,"S","Mr",NA,NA,NA,NA,NA
"71","0","2","male",32,0,0,10.5,"S","Mr",NA,NA,NA,NA,NA
"72","0","3","female",16,5,2,46.9,"S","Miss",NA,NA,NA,NA,NA
"73","0","2","male",21,0,0,73.5,"S","Mr",NA,NA,NA,NA,NA
"74","0","3","male",26,1,0,14.4542,"C","Mr",NA,NA,NA,NA,NA
"75","1","3","male",32,0,0,56.4958,"S","Mr",NA,NA,NA,NA,NA
"76","0","3","male",25,0,0,7.65,"S","Mr","G",NA,"Starboard",NA,NA
"77","0","3","male",32.3680904522613,0,0,7.8958,"S","Mr",NA,NA,NA,NA,NA
"78","0","3","male",32.3680904522613,0,0,8.05,"S","Mr",NA,NA,NA,NA,NA
"79","1","2","male",0.83,0,2,29,"S","Master",NA,NA,NA,NA,NA
"80","1","3","female",30,0,0,12.475,"S","Miss",NA,NA,NA,NA,NA
"81","0","3","male",22,0,0,9,"S","Mr",NA,NA,NA,NA,NA
"82","1","3","male",29,0,0,9.5,"S","Mr",NA,NA,NA,NA,NA
"83","1","3","female",21.7739726027397,0,0,7.7875,"Q","Miss",NA,NA,NA,NA,NA
"84","0","1","male",28,0,0,47.1,"S","Mr",NA,NA,NA,NA,NA
"85","1","2","female",17,0,0,10.5,"S","Miss",NA,NA,NA,NA,NA
"86","1","3","female",33,3,0,15.85,"S","Mrs",NA,NA,NA,NA,NA
"87","0","3","male",16,1,3,34.375,"S","Mr",NA,NA,NA,NA,NA
"88","0","3","male",32.3680904522613,0,0,8.05,"S","Mr",NA,NA,NA,NA,NA
"89","1","1","female",23,3,2,263,"S","Miss","C","Starboard","Starboard","Starboard",NA
"90","0","3","male",24,0,0,8.05,"S","Mr",NA,NA,NA,NA,NA
"91","0","3","male",29,0,0,8.05,"S","Mr",NA,NA,NA,NA,NA
"92","0","3","male",20,0,0,7.8542,"S","Mr",NA,NA,NA,NA,NA
"93","0","1","male",46,1,0,61.175,"S","Mr","E","Starboard",NA,NA,NA
"94","0","3","male",26,1,2,20.575,"S","Mr",NA,NA,NA,NA,NA
"95","0","3","male",59,0,0,7.25,"S","Mr",NA,NA,NA,NA,NA
"96","0","3","male",32.3680904522613,0,0,8.05,"S","Mr",NA,NA,NA,NA,NA
"97","0","1","male",71,0,0,34.6542,"C","Mr","A","Starboard",NA,NA,NA
"98","1","1","male",23,0,1,63.3583,"C","Mr","D","Port","Port",NA,NA
"99","1","2","female",34,0,1,23,"S","Mrs",NA,NA,NA,NA,NA
"100","0","2","male",34,1,0,26,"S","Mr",NA,NA,NA,NA,NA
"101","0","3","female",28,0,0,7.8958,"S","Miss",NA,NA,NA,NA,NA
"102","0","3","male",32.3680904522613,0,0,7.8958,"S","Mr",NA,NA,NA,NA,NA
"103","0","1","male",21,0,1,77.2875,"S","Mr","D","Port",NA,NA,NA
"104","0","3","male",33,0,0,8.6542,"S","Mr",NA,NA,NA,NA,NA
"105","0","3","male",37,2,0,7.925,"S","Mr",NA,NA,NA,NA,NA
"106","0","3","male",28,0,0,7.8958,"S","Mr",NA,NA,NA,NA,NA
"107","1","3","female",21,0,0,7.65,"S","Miss",NA,NA,NA,NA,NA
"108","1","3","male",32.3680904522613,0,0,7.775,"S","Mr",NA,NA,NA,NA,NA
"109","0","3","male",38,0,0,7.8958,"S","Mr",NA,NA,NA,NA,NA
"110","1","3","female",21.7739726027397,1,0,24.15,"Q","Miss",NA,NA,NA,NA,NA
"111","0","1","male",47,0,0,52,"S","Mr","C","Port",NA,NA,NA
"112","0","3","female",14.5,1,0,14.4542,"C","Miss",NA,NA,NA,NA,NA
"113","0","3","male",22,0,0,8.05,"S","Mr",NA,NA,NA,NA,NA
"114","0","3","female",20,1,0,9.825,"S","Miss",NA,NA,NA,NA,NA
"115","0","3","female",17,0,0,14.4583,"C","Miss",NA,NA,NA,NA,NA
"116","0","3","male",21,0,0,7.925,"S","Mr",NA,NA,NA,NA,NA
"117","0","3","male",70.5,0,0,7.75,"Q","Mr",NA,NA,NA,NA,NA
"118","0","2","male",29,1,0,21,"S","Mr",NA,NA,NA,NA,NA
"119","0","1","male",24,0,1,247.5208,"C","Mr","B","Port","Port",NA,NA
"120","0","3","female",2,4,2,31.275,"S","Miss",NA,NA,NA,NA,NA
"121","0","2","male",21,2,0,73.5,"S","Mr",NA,NA,NA,NA,NA
"122","0","3","male",32.3680904522613,0,0,8.05,"S","Mr",NA,NA,NA,NA,NA
"123","0","2","male",32.5,1,0,30.0708,"C","Mr",NA,NA,NA,NA,NA
"124","1","2","female",32.5,0,0,13,"S","Miss","E","Starboard",NA,NA,NA
"125","0","1","male",54,0,1,77.2875,"S","Mr","D","Port",NA,NA,NA
"126","1","3","male",12,1,0,11.2417,"C","Master",NA,NA,NA,NA,NA
"127","0","3","male",32.3680904522613,0,0,7.75,"Q","Mr",NA,NA,NA,NA,NA
"128","1","3","male",24,0,0,7.1417,"S","Mr",NA,NA,NA,NA,NA
"129","1","3","female",21.7739726027397,1,1,22.3583,"C","Miss","E",NA,"Starboard",NA,NA
"130","0","3","male",45,0,0,6.975,"S","Mr",NA,NA,NA,NA,NA
"131","0","3","male",33,0,0,7.8958,"C","Mr",NA,NA,NA,NA,NA
"132","0","3","male",20,0,0,7.05,"S","Mr",NA,NA,NA,NA,NA
"133","0","3","female",47,1,0,14.5,"S","Mrs",NA,NA,NA,NA,NA
"134","1","2","female",29,1,0,26,"S","Mrs",NA,NA,NA,NA,NA
"135","0","2","male",25,0,0,13,"S","Mr",NA,NA,NA,NA,NA
"136","0","2","male",23,0,0,15.0458,"C","Mr",NA,NA,NA,NA,NA
"137","1","1","female",19,0,2,26.2833,"S","Miss","D","Starboard",NA,NA,NA
"138","0","1","male",37,1,0,53.1,"S","Mr","C","Starboard",NA,NA,NA
"139","0","3","male",16,0,0,9.2167,"S","Mr",NA,NA,NA,NA,NA
"140","0","1","male",24,0,0,79.2,"C","Mr","B","Port",NA,NA,NA
"141","0","3","female",35.8981481481481,0,2,15.2458,"C","Mrs",NA,NA,NA,NA,NA
"142","1","3","female",22,0,0,7.75,"S","Miss",NA,NA,NA,NA,NA
"143","1","3","female",24,1,0,15.85,"S","Mrs",NA,NA,NA,NA,NA
"144","0","3","male",19,0,0,6.75,"Q","Mr",NA,NA,NA,NA,NA
"145","0","2","male",18,0,0,11.5,"S","Mr",NA,NA,NA,NA,NA
"146","0","2","male",19,1,1,36.75,"S","Mr",NA,NA,NA,NA,NA
"147","1","3","male",27,0,0,7.7958,"S","Mr",NA,NA,NA,NA,NA
"148","0","3","female",9,2,2,34.375,"S","Miss",NA,NA,NA,NA,NA
"149","0","2","male",36.5,0,2,26,"S","Mr","F","Port",NA,NA,NA
"150","0","2","male",42,0,0,13,"S","Rev",NA,NA,NA,NA,NA
"151","0","2","male",51,0,0,12.525,"S","Rev",NA,NA,NA,NA,NA
"152","1","1","female",22,1,0,66.6,"S","Mrs","C","Port",NA,NA,NA
"153","0","3","male",55.5,0,0,8.05,"S","Mr",NA,NA,NA,NA,NA
"154","0","3","male",40.5,0,2,14.5,"S","Mr",NA,NA,NA,NA,NA
"155","0","3","male",32.3680904522613,0,0,7.3125,"S","Mr",NA,NA,NA,NA,NA
"156","0","1","male",51,0,1,61.3792,"C","Mr",NA,NA,NA,NA,NA
"157","1","3","female",16,0,0,7.7333,"Q","Miss",NA,NA,NA,NA,NA
"158","0","3","male",30,0,0,8.05,"S","Mr",NA,NA,NA,NA,NA
"159","0","3","male",32.3680904522613,0,0,8.6625,"S","Mr",NA,NA,NA,NA,NA
"160","0","3","male",4.57416666666667,8,2,69.55,"S","Master",NA,NA,NA,NA,NA
"161","0","3","male",44,0,1,16.1,"S","Mr",NA,NA,NA,NA,NA
"162","1","2","female",40,0,0,15.75,"S","Mrs",NA,NA,NA,NA,NA
"163","0","3","male",26,0,0,7.775,"S","Mr",NA,NA,NA,NA,NA
"164","0","3","male",17,0,0,8.6625,"S","Mr",NA,NA,NA,NA,NA
"165","0","3","male",1,4,1,39.6875,"S","Master",NA,NA,NA,NA,NA
"166","1","3","male",9,0,2,20.525,"S","Master",NA,NA,NA,NA,NA
"167","1","1","female",35.8981481481481,0,1,55,"S","Mrs","E","Starboard",NA,NA,NA
"168","0","3","female",45,1,4,27.9,"S","Mrs",NA,NA,NA,NA,NA
"169","0","1","male",32.3680904522613,0,0,25.925,"S","Mr",NA,NA,NA,NA,NA
"170","0","3","male",28,0,0,56.4958,"S","Mr",NA,NA,NA,NA,NA
"171","0","1","male",61,0,0,33.5,"S","Mr","B","Starboard",NA,NA,NA
"172","0","3","male",4,4,1,29.125,"Q","Master",NA,NA,NA,NA,NA
"173","1","3","female",1,1,1,11.1333,"S","Miss",NA,NA,NA,NA,NA
"174","0","3","male",21,0,0,7.925,"S","Mr",NA,NA,NA,NA,NA
"175","0","1","male",56,0,0,30.6958,"C","Mr","A","Starboard",NA,NA,NA
"176","0","3","male",18,1,1,7.8542,"S","Mr",NA,NA,NA,NA,NA
"177","0","3","male",4.57416666666667,3,1,25.4667,"S","Master",NA,NA,NA,NA,NA
"178","0","1","female",50,0,0,28.7125,"C","Miss","C","Starboard",NA,NA,NA
"179","0","2","male",30,0,0,13,"S","Mr",NA,NA,NA,NA,NA
"180","0","3","male",36,0,0,0,"S","Mr",NA,NA,NA,NA,NA
"181","0","3","female",21.7739726027397,8,2,69.55,"S","Miss",NA,NA,NA,NA,NA
"182","0","2","male",32.3680904522613,0,0,15.05,"C","Mr",NA,NA,NA,NA,NA
"183","0","3","male",9,4,2,31.3875,"S","Master",NA,NA,NA,NA,NA
"184","1","2","male",1,2,1,39,"S","Master","F","Port",NA,NA,NA
"185","1","3","female",4,0,2,22.025,"S","Miss",NA,NA,NA,NA,NA
"186","0","1","male",32.3680904522613,0,0,50,"S","Mr","A","Port",NA,NA,NA
"187","1","3","female",35.8981481481481,1,0,15.5,"Q","Mrs",NA,NA,NA,NA,NA
"188","1","1","male",45,0,0,26.55,"S","Mr",NA,NA,NA,NA,NA
"189","0","3","male",40,1,1,15.5,"Q","Mr",NA,NA,NA,NA,NA
"190","0","3","male",36,0,0,7.8958,"S","Mr",NA,NA,NA,NA,NA
"191","1","2","female",32,0,0,13,"S","Mrs",NA,NA,NA,NA,NA
"192","0","2","male",19,0,0,13,"S","Mr",NA,NA,NA,NA,NA
"193","1","3","female",19,1,0,7.8542,"S","Miss",NA,NA,NA,NA,NA
"194","1","2","male",3,1,1,26,"S","Master","F","Port",NA,NA,NA
"195","1","1","female",44,0,0,27.7208,"C","Mrs","B","Port",NA,NA,NA
"196","1","1","female",58,0,0,146.5208,"C","Miss","B","Port",NA,NA,NA
"197","0","3","male",32.3680904522613,0,0,7.75,"Q","Mr",NA,NA,NA,NA,NA
"198","0","3","male",42,0,1,8.4042,"S","Mr",NA,NA,NA,NA,NA
"199","1","3","female",21.7739726027397,0,0,7.75,"Q","Miss",NA,NA,NA,NA,NA
"200","0","2","female",24,0,0,13,"S","Miss",NA,NA,NA,NA,NA
"201","0","3","male",28,0,0,9.5,"S","Mr",NA,NA,NA,NA,NA
"202","0","3","male",32.3680904522613,8,2,69.55,"S","Mr",NA,NA,NA,NA,NA
"203","0","3","male",34,0,0,6.4958,"S","Mr",NA,NA,NA,NA,NA
"204","0","3","male",45.5,0,0,7.225,"C","Mr",NA,NA,NA,NA,NA
"205","1","3","male",18,0,0,8.05,"S","Mr",NA,NA,NA,NA,NA
"206","0","3","female",2,0,1,10.4625,"S","Miss","G","Port",NA,NA,NA
"207","0","3","male",32,1,0,15.85,"S","Mr",NA,NA,NA,NA,NA
"208","1","3","male",26,0,0,18.7875,"C","Mr",NA,NA,NA,NA,NA
"209","1","3","female",16,0,0,7.75,"Q","Miss",NA,NA,NA,NA,NA
"210","1","1","male",40,0,0,31,"C","Mr","A","Starboard",NA,NA,NA
"211","0","3","male",24,0,0,7.05,"S","Mr",NA,NA,NA,NA,NA
"212","1","2","female",35,0,0,21,"S","Miss",NA,NA,NA,NA,NA
"213","0","3","male",22,0,0,7.25,"S","Mr",NA,NA,NA,NA,NA
"214","0","2","male",30,0,0,13,"S","Mr",NA,NA,NA,NA,NA
"215","0","3","male",32.3680904522613,1,0,7.75,"Q","Mr",NA,NA,NA,NA,NA
"216","1","1","female",31,1,0,113.275,"C","Miss","D","Port",NA,NA,NA
"217","1","3","female",27,0,0,7.925,"S","Miss",NA,NA,NA,NA,NA
"218","0","2","male",42,1,0,27,"S","Mr",NA,NA,NA,NA,NA
"219","1","1","female",32,0,0,76.2917,"C","Miss","D","Starboard",NA,NA,NA
"220","0","2","male",30,0,0,10.5,"S","Mr",NA,NA,NA,NA,NA
"221","1","3","male",16,0,0,8.05,"S","Mr",NA,NA,NA,NA,NA
"222","0","2","male",27,0,0,13,"S","Mr",NA,NA,NA,NA,NA
"223","0","3","male",51,0,0,8.05,"S","Mr",NA,NA,NA,NA,NA
"224","0","3","male",32.3680904522613,0,0,7.8958,"S","Mr",NA,NA,NA,NA,NA
"225","1","1","male",38,1,0,90,"S","Mr","C","Starboard",NA,NA,NA
"226","0","3","male",22,0,0,9.35,"S","Mr",NA,NA,NA,NA,NA
"227","1","2","male",19,0,0,10.5,"S","Mr",NA,NA,NA,NA,NA
"228","0","3","male",20.5,0,0,7.25,"S","Mr",NA,NA,NA,NA,NA
"229","0","2","male",18,0,0,13,"S","Mr",NA,NA,NA,NA,NA
"230","0","3","female",21.7739726027397,3,1,25.4667,"S","Miss",NA,NA,NA,NA,NA
"231","1","1","female",35,1,0,83.475,"S","Mrs","C","Starboard",NA,NA,NA
"232","0","3","male",29,0,0,7.775,"S","Mr",NA,NA,NA,NA,NA
"233","0","2","male",59,0,0,13.5,"S","Mr",NA,NA,NA,NA,NA
"234","1","3","female",5,4,2,31.3875,"S","Miss",NA,NA,NA,NA,NA
"235","0","2","male",24,0,0,10.5,"S","Mr",NA,NA,NA,NA,NA
"236","0","3","female",21.7739726027397,0,0,7.55,"S","Miss",NA,NA,NA,NA,NA
"237","0","2","male",44,1,0,26,"S","Mr",NA,NA,NA,NA,NA
"238","1","2","female",8,0,2,26.25,"S","Miss",NA,NA,NA,NA,NA
"239","0","2","male",19,0,0,10.5,"S","Mr",NA,NA,NA,NA,NA
"240","0","2","male",33,0,0,12.275,"S","Mr",NA,NA,NA,NA,NA
"241","0","3","female",21.7739726027397,1,0,14.4542,"C","Miss",NA,NA,NA,NA,NA
"242","1","3","female",21.7739726027397,1,0,15.5,"Q","Miss",NA,NA,NA,NA,NA
"243","0","2","male",29,0,0,10.5,"S","Mr",NA,NA,NA,NA,NA
"244","0","3","male",22,0,0,7.125,"S","Mr",NA,NA,NA,NA,NA
"245","0","3","male",30,0,0,7.225,"C","Mr",NA,NA,NA,NA,NA
"246","0","1","male",44,2,0,90,"Q","Dr","C","Port",NA,NA,NA
"247","0","3","female",25,0,0,7.775,"S","Miss",NA,NA,NA,NA,NA
"248","1","2","female",24,0,2,14.5,"S","Mrs",NA,NA,NA,NA,NA
"249","1","1","male",37,1,1,52.5542,"S","Mr","D","Starboard",NA,NA,NA
"250","0","2","male",54,1,0,26,"S","Rev",NA,NA,NA,NA,NA
"251","0","3","male",32.3680904522613,0,0,7.25,"S","Mr",NA,NA,NA,NA,NA
"252","0","3","female",29,1,1,10.4625,"S","Mrs","G","Port",NA,NA,NA
"253","0","1","male",62,0,0,26.55,"S","Mr","C","Starboard",NA,NA,NA
"254","0","3","male",30,1,0,16.1,"S","Mr",NA,NA,NA,NA,NA
"255","0","3","female",41,0,2,20.2125,"S","Mrs",NA,NA,NA,NA,NA
"256","1","3","female",29,0,2,15.2458,"C","Mrs",NA,NA,NA,NA,NA
"257","1","1","female",35.8981481481481,0,0,79.2,"C","Mrs",NA,NA,NA,NA,NA
"258","1","1","female",30,0,0,86.5,"S","Miss","B","Starboard",NA,NA,NA
"259","1","1","female",35,0,0,512.3292,"C","Miss",NA,NA,NA,NA,NA
"260","1","2","female",50,0,1,26,"S","Mrs",NA,NA,NA,NA,NA
"261","0","3","male",32.3680904522613,0,0,7.75,"Q","Mr",NA,NA,NA,NA,NA
"262","1","3","male",3,4,2,31.3875,"S","Master",NA,NA,NA,NA,NA
"263","0","1","male",52,1,1,79.65,"S","Mr","E","Starboard",NA,NA,NA
"264","0","1","male",40,0,0,0,"S","Mr","B","Port",NA,NA,NA
"265","0","3","female",21.7739726027397,0,0,7.75,"Q","Miss",NA,NA,NA,NA,NA
"266","0","2","male",36,0,0,10.5,"S","Mr",NA,NA,NA,NA,NA
"267","0","3","male",16,4,1,39.6875,"S","Mr",NA,NA,NA,NA,NA
"268","1","3","male",25,1,0,7.775,"S","Mr",NA,NA,NA,NA,NA
"269","1","1","female",58,0,1,153.4625,"S","Mrs","C","Starboard",NA,NA,NA
"270","1","1","female",35,0,0,135.6333,"S","Miss","C","Starboard",NA,NA,NA
"271","0","1","male",32.3680904522613,0,0,31,"S","Mr",NA,NA,NA,NA,NA
"272","1","3","male",25,0,0,0,"S","Mr",NA,NA,NA,NA,NA
"273","1","2","female",41,0,1,19.5,"S","Mrs",NA,NA,NA,NA,NA
"274","0","1","male",37,0,1,29.7,"C","Mr","C","Port",NA,NA,NA
"275","1","3","female",21.7739726027397,0,0,7.75,"Q","Miss",NA,NA,NA,NA,NA
"276","1","1","female",63,1,0,77.9583,"S","Miss","D","Starboard",NA,NA,NA
"277","0","3","female",45,0,0,7.75,"S","Miss",NA,NA,NA,NA,NA
"278","0","2","male",32.3680904522613,0,0,0,"S","Mr",NA,NA,NA,NA,NA
"279","0","3","male",7,4,1,29.125,"Q","Master",NA,NA,NA,NA,NA
"280","1","3","female",35,1,1,20.25,"S","Mrs",NA,NA,NA,NA,NA
"281","0","3","male",65,0,0,7.75,"Q","Mr",NA,NA,NA,NA,NA
"282","0","3","male",28,0,0,7.8542,"S","Mr",NA,NA,NA,NA,NA
"283","0","3","male",16,0,0,9.5,"S","Mr",NA,NA,NA,NA,NA
"284","1","3","male",19,0,0,8.05,"S","Mr",NA,NA,NA,NA,NA
"285","0","1","male",32.3680904522613,0,0,26,"S","Mr","A","Starboard",NA,NA,NA
"286","0","3","male",33,0,0,8.6625,"C","Mr",NA,NA,NA,NA,NA
"287","1","3","male",30,0,0,9.5,"S","Mr",NA,NA,NA,NA,NA
"288","0","3","male",22,0,0,7.8958,"S","Mr",NA,NA,NA,NA,NA
"289","1","2","male",42,0,0,13,"S","Mr",NA,NA,NA,NA,NA
"290","1","3","female",22,0,0,7.75,"Q","Miss",NA,NA,NA,NA,NA
"291","1","1","female",26,0,0,78.85,"S","Miss",NA,NA,NA,NA,NA
"292","1","1","female",19,1,0,91.0792,"C","Mrs","B","Starboard",NA,NA,NA
"293","0","2","male",36,0,0,12.875,"C","Mr",NA,NA,NA,NA,NA
"294","0","3","female",24,0,0,8.85,"S","Miss",NA,NA,NA,NA,NA
"295","0","3","male",24,0,0,7.8958,"S","Mr",NA,NA,NA,NA,NA
"296","0","1","male",32.3680904522613,0,0,27.7208,"C","Mr",NA,NA,NA,NA,NA
"297","0","3","male",23.5,0,0,7.2292,"C","Mr",NA,NA,NA,NA,NA
"298","0","1","female",2,1,2,151.55,"S","Miss","C","Port","Port",NA,NA
"299","1","1","male",32.3680904522613,0,0,30.5,"S","Mr","C","Port",NA,NA,NA
"300","1","1","female",50,0,1,247.5208,"C","Mrs","B","Port","Port",NA,NA
"301","1","3","female",21.7739726027397,0,0,7.75,"Q","Miss",NA,NA,NA,NA,NA
"302","1","3","male",32.3680904522613,2,0,23.25,"Q","Mr",NA,NA,NA,NA,NA
"303","0","3","male",19,0,0,0,"S","Mr",NA,NA,NA,NA,NA
"304","1","2","female",21.7739726027397,0,0,12.35,"Q","Miss","E","Starboard",NA,NA,NA
"305","0","3","male",32.3680904522613,0,0,8.05,"S","Mr",NA,NA,NA,NA,NA
"306","1","1","male",0.92,1,2,151.55,"S","Master","C","Port","Port",NA,NA
"307","1","1","female",21.7739726027397,0,0,110.8833,"C","Miss",NA,NA,NA,NA,NA
"308","1","1","female",17,1,0,108.9,"C","Mrs","C","Starboard",NA,NA,NA
"309","0","2","male",30,1,0,24,"C","Mr",NA,NA,NA,NA,NA
"310","1","1","female",30,0,0,56.9292,"C","Miss","E","Port",NA,NA,NA
"311","1","1","female",24,0,0,83.1583,"C","Miss","C","Port",NA,NA,NA
"312","1","1","female",18,2,2,262.375,"C","Miss","B","Starboard","Starboard","Starboard","Port"
"313","0","2","female",26,1,1,26,"S","Mrs",NA,NA,NA,NA,NA
"314","0","3","male",28,0,0,7.8958,"S","Mr",NA,NA,NA,NA,NA
"315","0","2","male",43,1,1,26.25,"S","Mr",NA,NA,NA,NA,NA
"316","1","3","female",26,0,0,7.8542,"S","Miss",NA,NA,NA,NA,NA
"317","1","2","female",24,1,0,26,"S","Mrs",NA,NA,NA,NA,NA
"318","0","2","male",54,0,0,14,"S","Dr",NA,NA,NA,NA,NA
"319","1","1","female",31,0,2,164.8667,"S","Miss","C","Starboard",NA,NA,NA
"320","1","1","female",40,1,1,134.5,"C","Mrs","E","Port",NA,NA,NA
"321","0","3","male",22,0,0,7.25,"S","Mr",NA,NA,NA,NA,NA
"322","0","3","male",27,0,0,7.8958,"S","Mr",NA,NA,NA,NA,NA
"323","1","2","female",30,0,0,12.35,"Q","Miss",NA,NA,NA,NA,NA
"324","1","2","female",22,1,1,29,"S","Mrs",NA,NA,NA,NA,NA
"325","0","3","male",32.3680904522613,8,2,69.55,"S","Mr",NA,NA,NA,NA,NA
"326","1","1","female",36,0,0,135.6333,"C","Miss","C","Port",NA,NA,NA
